age,education,educationNum,married,race,sex,capitalGain,capitalLoss,hrPerWeek,income
48,HSgrad,9,married,White,Male,0,0,40,<=50K
42,doctorate,16,married,White,Male,0,0,45,>50K
29,someCollege,10,notMarried,White,Male,0,0,58,<=50K
36,HSgrad,9,married,White,Male,0,0,40,<=50K
28,someCollege,10,notMarried,White,Female,0,0,40,<=50K
53,HSgrad,9,married,White,Female,0,0,40,>50K
49,someCollege,10,married,White,Male,0,0,50,>50K
25,someCollege,10,notMarried,White,Male,0,0,40,<=50K
19,someCollege,10,notMarried,White,Male,0,0,32,<=50K
31,bachelors,13,notMarried,Black,Female,0,0,40,<=50K
29,bachelors,13,married,White,Male,0,0,70,>50K
23,someCollege,10,notMarried,White,Male,0,0,40,<=50K
79,someCollege,10,married,White,Male,0,0,20,<=50K
27,HSgrad,9,notMarried,White,Male,0,0,40,<=50K
40,assoc,12,married,White,Male,0,0,40,<=50K
67,nonHSgrad,6,married,White,Male,0,0,2,<=50K
18,nonHSgrad,7,notMarried,White,Female,0,0,22,<=50K
31,nonHSgrad,4,married,White,Male,0,0,40,<=50K
18,HSgrad,9,notMarried,White,Male,0,0,30,<=50K
52,bachelors,13,married,White,Male,0,0,40,<=50K
46,HSgrad,9,married,White,Female,0,0,40,<=50K
59,HSgrad,9,married,White,Male,0,0,48,<=50K
44,HSgrad,9,notMarried,White,Female,14344,0,40,>50K
53,HSgrad,9,notMarried,White,Female,0,0,35,<=50K
49,HSgrad,9,married,White,Male,0,0,40,>50K
33,masters,14,married,White,Male,0,0,50,<=50K
30,nonHSgrad,5,notMarried,White,Male,0,0,40,<=50K
43,doctorate,16,notMarried,White,Female,0,0,50,>50K
57,assoc,11,married,White,Male,0,0,40,<=50K
37,someCollege,10,notMarried,White,Female,0,0,40,<=50K
28,someCollege,10,notMarried,Black,Female,0,0,25,<=50K
30,HSgrad,9,married,Asian-Pac-Islander,Female,0,1573,35,<=50K
34,bachelors,13,married,White,Male,0,0,40,>50K
29,someCollege,10,notMarried,White,Male,0,0,50,<=50K
48,doctorate,16,married,White,Male,0,1902,60,>50K
37,someCollege,10,married,White,Male,0,0,48,>50K
48,assoc,12,notMarried,White,Female,0,0,40,<=50K
32,HSgrad,9,notMarried,Black,Male,0,0,40,<=50K
76,masters,14,married,White,Male,0,0,40,>50K
44,bachelors,13,married,White,Male,15024,0,60,>50K
47,masters,14,notMarried,White,Female,0,0,50,<=50K
20,someCollege,10,notMarried,White,Female,0,0,40,<=50K
29,HSgrad,9,notMarried,White,Male,0,0,40,<=50K
32,HSgrad,9,married,White,Male,7688,0,40,>50K
17,nonHSgrad,6,notMarried,White,Female,34095,0,32,<=50K
30,nonHSgrad,7,notMarried,White,Male,0,0,40,<=50K
31,HSgrad,9,notMarried,White,Female,0,0,40,<=50K
42,HSgrad,9,married,White,Male,0,0,40,<=50K
24,bachelors,13,notMarried,White,Male,0,0,40,<=50K
38,profSchool,15,married,White,Male,0,0,40,>50K
56,HSgrad,9,married,White,Male,0,1887,50,>50K
28,someCollege,10,married,White,Female,4064,0,25,<=50K
36,HSgrad,9,notMarried,White,Female,0,0,40,<=50K
53,nonHSgrad,5,married,White,Male,0,0,50,<=50K
56,someCollege,10,married,White,Male,0,0,50,<=50K
49,assoc,11,married,Black,Male,0,0,40,>50K
55,someCollege,10,married,White,Male,0,0,56,<=50K
22,HSgrad,9,notMarried,White,Male,0,0,41,<=50K
21,someCollege,10,notMarried,White,Female,0,0,40,<=50K
40,bachelors,13,married,White,Male,0,0,60,<=50K
30,bachelors,13,notMarried,Black,Male,0,0,40,<=50K
29,bachelors,13,married,White,Male,0,0,50,>50K
19,someCollege,10,notMarried,Black,Male,0,0,35,<=50K
47,bachelors,13,married,White,Female,0,0,40,>50K
20,someCollege,10,notMarried,White,Female,0,1719,28,<=50K
31,assoc,12,married,White,Male,0,0,40,>50K
35,HSgrad,9,married,White,Male,0,0,40,<=50K
39,someCollege,10,notMarried,White,Male,0,0,40,<=50K
28,assoc,12,notMarried,White,Female,0,0,60,<=50K
24,HSgrad,9,notMarried,White,Female,0,1762,40,<=50K
38,HSgrad,9,married,White,Male,4386,0,35,<=50K
37,bachelors,13,married,White,Male,0,0,50,<=50K
46,assoc,12,notMarried,Black,Female,0,0,36,<=50K
38,masters,14,married,White,Male,0,0,40,>50K
43,HSgrad,9,married,White,Male,0,0,60,<=50K
27,assoc,11,married,White,Female,0,0,35,<=50K
20,someCollege,10,notMarried,White,Male,0,0,20,<=50K
49,someCollege,10,married,Asian-Pac-Islander,Male,0,0,40,>50K
61,HSgrad,9,married,White,Male,0,0,40,<=50K
27,someCollege,10,notMarried,White,Female,0,0,40,<=50K
19,someCollege,10,notMarried,White,Male,0,0,30,<=50K
45,assoc,11,notMarried,White,Female,0,1564,40,>50K
70,someCollege,10,notMarried,White,Male,0,0,40,<=50K
31,HSgrad,9,notMarried,Black,Female,0,0,30,<=50K
22,someCollege,10,married,White,Male,0,0,24,<=50K
36,HSgrad,9,notMarried,White,Female,0,0,24,<=50K
64,nonHSgrad,7,married,White,Male,0,2179,40,<=50K
43,someCollege,10,notMarried,White,Female,0,0,40,<=50K
47,someCollege,10,notMarried,White,Female,0,0,38,<=50K
34,HSgrad,9,notMarried,White,Female,0,0,40,<=50K
33,bachelors,13,notMarried,Asian-Pac-Islander,Female,0,0,40,<=50K
21,HSgrad,9,notMarried,White,Male,0,0,35,<=50K
52,HSgrad,9,notMarried,White,Male,0,0,45,>50K
48,HSgrad,9,married,White,Male,0,0,46,<=50K
23,bachelors,13,notMarried,White,Male,0,0,40,<=50K
71,someCollege,10,notMarried,Black,Male,0,1816,2,<=50K
29,HSgrad,9,notMarried,White,Male,0,0,60,<=50K
42,bachelors,13,notMarried,Black,Male,0,0,50,<=50K
68,nonHSgrad,2,notMarried,White,Female,0,0,20,<=50K
25,HSgrad,9,notMarried,White,Female,0,0,40,<=50K
44,masters,14,notMarried,Asian-Pac-Islander,Female,0,0,40,<=50K
28,HSgrad,9,notMarried,Asian-Pac-Islander,Female,0,0,40,<=50K
45,masters,14,married,White,Male,0,0,40,>50K
36,someCollege,10,notMarried,White,Female,0,0,40,<=50K
39,assoc,12,notMarried,White,Male,0,0,42,<=50K
46,masters,14,notMarried,White,Male,0,0,40,<=50K
18,nonHSgrad,7,notMarried,White,Male,0,0,16,<=50K
66,assoc,11,notMarried,White,Female,0,0,20,<=50K
27,HSgrad,9,notMarried,White,Male,0,1980,40,<=50K
28,HSgrad,9,married,White,Male,0,0,40,<=50K
51,someCollege,10,married,White,Male,0,1977,40,>50K
27,bachelors,13,notMarried,White,Male,0,0,50,<=50K
28,bachelors,13,married,White,Male,0,0,40,>50K
27,HSgrad,9,married,White,Female,0,0,25,<=50K
21,HSgrad,9,notMarried,Black,Male,0,0,40,<=50K
34,HSgrad,9,notMarried,Black,Male,0,0,40,<=50K
18,HSgrad,9,notMarried,White,Male,0,0,12,<=50K
33,bachelors,13,married,White,Male,0,0,65,<=50K
44,someCollege,10,married,Black,Male,0,0,38,>50K
43,someCollege,10,notMarried,White,Female,0,0,40,<=50K
30,someCollege,10,notMarried,Black,Male,0,0,45,<=50K
40,nonHSgrad,4,married,White,Male,0,0,40,>50K
37,someCollege,10,married,White,Male,0,0,42,>50K
34,HSgrad,9,married,Black,Male,0,0,40,<=50K
41,bachelors,13,notMarried,White,Female,0,0,40,<=50K
53,bachelors,13,notMarried,White,Female,0,0,50,<=50K
31,masters,14,married,White,Female,0,0,50,<=50K
58,doctorate,16,married,White,Male,0,0,1,>50K
38,someCollege,10,notMarried,Black,Female,0,0,28,<=50K
24,someCollege,10,married,White,Male,0,0,40,<=50K
41,bachelors,13,married,Black,Male,0,0,40,<=50K
47,someCollege,10,married,White,Male,0,0,45,<=50K
41,bachelors,13,married,White,Male,0,0,24,<=50K
23,nonHSgrad,3,married,White,Male,0,0,40,<=50K
36,someCollege,10,notMarried,White,Male,0,0,40,<=50K
40,masters,14,notMarried,White,Female,14084,0,55,>50K
35,masters,14,married,White,Male,7298,0,40,>50K
24,HSgrad,9,notMarried,White,Male,0,0,40,<=50K
26,masters,14,notMarried,White,Female,0,1876,40,<=50K
19,HSgrad,9,notMarried,White,Male,0,0,40,<=50K
51,bachelors,13,married,White,Male,0,0,50,>50K
42,someCollege,10,notMarried,White,Female,0,1340,40,<=50K
37,HSgrad,9,notMarried,White,Female,0,0,35,<=50K
18,nonHSgrad,7,notMarried,White,Female,0,0,40,<=50K
36,bachelors,13,married,Black,Male,7298,0,36,>50K
35,HSgrad,9,notMarried,White,Male,0,0,60,<=50K
58,HSgrad,9,married,White,Female,15024,0,35,>50K
17,nonHSgrad,7,notMarried,White,Female,0,0,12,<=50K
44,HSgrad,9,married,Black,Male,0,0,40,<=50K
37,HSgrad,9,married,White,Male,0,0,40,>50K
35,someCollege,10,notMarried,Amer-Indian-Eskimo,Female,0,0,40,<=50K
60,HSgrad,9,married,Asian-Pac-Islander,Male,0,0,40,<=50K
54,nonHSgrad,4,married,White,Male,0,0,40,>50K
37,bachelors,13,notMarried,Black,Male,0,0,60,>50K
50,assoc,12,notMarried,White,Female,0,0,40,<=50K
38,bachelors,13,married,White,Male,0,0,50,<=50K
45,bachelors,13,married,White,Male,0,0,55,<=50K
25,nonHSgrad,6,notMarried,White,Male,0,0,40,<=50K
31,someCollege,10,married,White,Male,0,0,40,<=50K
64,nonHSgrad,2,notMarried,White,Male,0,0,40,<=50K
90,HSgrad,9,notMarried,Black,Male,0,2206,40,<=50K
54,HSgrad,9,married,Black,Male,0,0,20,<=50K
53,nonHSgrad,1,notMarried,White,Female,0,0,35,<=50K
18,HSgrad,9,notMarried,White,Female,0,0,40,<=50K
60,nonHSgrad,6,notMarried,Amer-Indian-Eskimo,Female,0,0,10,<=50K
66,HSgrad,9,married,White,Male,1409,0,50,<=50K
75,assoc,11,notMarried,White,Female,0,0,20,<=50K
65,HSgrad,9,notMarried,White,Female,0,0,40,<=50K
35,nonHSgrad,7,notMarried,Black,Male,3674,0,40,<=50K
41,HSgrad,9,notMarried,Black,Female,0,0,38,<=50K
25,someCollege,10,notMarried,White,Male,0,0,42,<=50K
33,someCollege,10,notMarried,Other,Female,0,0,40,<=50K
28,profSchool,15,notMarried,White,Male,0,0,55,>50K
59,HSgrad,9,married,White,Male,0,0,40,<=50K
40,someCollege,10,notMarried,White,Female,0,0,38,<=50K
41,bachelors,13,married,White,Male,0,0,50,>50K
38,masters,14,married,White,Male,0,0,70,>50K
23,HSgrad,9,notMarried,White,Male,0,0,40,<=50K
40,bachelors,13,married,White,Male,0,0,40,>50K
41,HSgrad,9,married,White,Female,0,0,20,<=50K
24,assoc,12,married,White,Male,0,0,50,<=50K
20,someCollege,10,notMarried,White,Male,0,0,20,<=50K
38,someCollege,10,notMarried,White,Male,0,1741,40,<=50K
56,HSgrad,9,married,White,Male,0,0,35,<=50K
58,HSgrad,9,married,White,Male,0,0,45,>50K
32,HSgrad,9,notMarried,White,Female,0,0,34,<=50K
40,assoc,12,married,White,Male,0,1977,60,>50K
45,HSgrad,9,married,White,Male,0,0,40,<=50K
41,profSchool,15,married,White,Female,0,0,40,>50K
42,bachelors,13,married,Black,Female,0,0,40,<=50K
59,nonHSgrad,6,notMarried,Black,Female,0,0,30,<=50K
19,someCollege,10,notMarried,White,Male,0,0,40,<=50K
58,someCollege,10,notMarried,White,Male,0,0,20,<=50K
42,HSgrad,9,married,Asian-Pac-Islander,Male,0,0,40,>50K
20,HSgrad,9,notMarried,White,Female,0,0,40,<=50K
32,HSgrad,9,notMarried,White,Female,0,0,30,<=50K
45,assoc,11,notMarried,White,Female,0,0,45,<=50K
50,nonHSgrad,4,notMarried,White,Male,0,0,40,<=50K
36,bachelors,13,notMarried,White,Female,0,0,40,<=50K
45,HSgrad,9,married,White,Male,0,0,60,<=50K
17,nonHSgrad,7,notMarried,White,Male,0,0,12,<=50K
59,someCollege,10,married,White,Male,4064,0,40,<=50K
26,nonHSgrad,7,married,White,Male,0,0,40,<=50K
37,someCollege,10,married,Asian-Pac-Islander,Male,0,0,75,>50K
19,someCollege,10,notMarried,White,Male,0,0,24,<=50K
64,HSgrad,9,married,White,Male,0,0,40,>50K
33,bachelors,13,notMarried,White,Female,0,0,45,<=50K
33,HSgrad,9,married,White,Female,0,0,40,>50K
61,HSgrad,9,married,White,Male,0,0,40,>50K
17,nonHSgrad,5,notMarried,White,Male,1055,0,24,<=50K
50,masters,14,married,White,Male,2407,0,98,<=50K
27,masters,14,notMarried,White,Male,0,0,35,<=50K
30,HSgrad,9,notMarried,White,Female,0,0,40,<=50K
43,HSgrad,9,married,Black,Male,0,0,40,<=50K
44,someCollege,10,married,White,Male,7298,0,40,>50K
35,someCollege,10,notMarried,White,Female,0,0,40,<=50K
25,someCollege,10,notMarried,White,Female,0,0,40,<=50K
24,someCollege,10,married,White,Female,7298,0,48,>50K
22,bachelors,13,notMarried,White,Female,0,0,15,<=50K
42,someCollege,10,married,White,Male,5178,0,40,>50K
34,assoc,12,notMarried,Black,Female,0,0,45,<=50K
60,bachelors,13,notMarried,White,Female,0,0,42,<=50K
21,HSgrad,9,notMarried,White,Male,0,0,40,<=50K
57,masters,14,married,White,Male,15024,0,40,>50K
41,profSchool,15,married,White,Male,0,0,60,>50K
50,someCollege,10,notMarried,White,Male,0,0,45,<=50K
25,bachelors,13,notMarried,White,Female,0,0,40,<=50K
50,nonHSgrad,4,married,White,Male,0,0,40,<=50K
36,bachelors,13,married,White,Male,0,0,45,<=50K
31,HSgrad,9,notMarried,White,Female,0,0,40,<=50K
29,bachelors,13,notMarried,White,Male,0,0,56,<=50K
21,someCollege,10,notMarried,White,Male,0,0,45,<=50K
27,bachelors,13,notMarried,Black,Female,0,0,40,<=50K
65,HSgrad,9,married,White,Male,0,0,16,<=50K
37,bachelors,13,notMarried,White,Female,0,0,60,<=50K
39,masters,14,married,Asian-Pac-Islander,Female,3464,0,40,<=50K
24,HSgrad,9,notMarried,White,Male,0,0,40,<=50K
38,HSgrad,9,notMarried,White,Male,0,0,80,<=50K
48,bachelors,13,married,White,Male,7688,0,40,>50K
21,someCollege,10,notMarried,Asian-Pac-Islander,Female,0,0,25,<=50K
31,HSgrad,9,married,White,Male,0,0,45,>50K
55,HSgrad,9,married,White,Male,4386,0,40,>50K
24,someCollege,10,married,Asian-Pac-Islander,Female,0,0,40,<=50K
43,HSgrad,9,notMarried,White,Female,0,0,40,<=50K
26,assoc,12,notMarried,White,Male,0,0,45,<=50K
46,assoc,12,notMarried,White,Female,0,0,33,<=50K
35,assoc,12,married,White,Male,0,0,40,>50K
41,someCollege,10,married,White,Male,0,0,54,>50K
26,bachelors,13,notMarried,White,Male,0,0,40,<=50K
34,masters,14,married,Asian-Pac-Islander,Male,7298,0,35,>50K
19,someCollege,10,notMarried,Black,Female,0,0,25,<=50K
36,bachelors,13,notMarried,Black,Female,0,0,40,>50K
22,someCollege,10,notMarried,White,Male,0,0,15,<=50K
24,someCollege,10,notMarried,White,Male,0,0,40,<=50K
77,someCollege,10,married,White,Male,0,0,40,<=50K
22,nonHSgrad,3,married,White,Female,0,0,40,<=50K
29,someCollege,10,notMarried,White,Female,0,0,40,<=50K
62,HSgrad,9,notMarried,White,Female,0,0,24,<=50K
39,HSgrad,9,married,White,Male,0,0,40,<=50K
43,someCollege,10,married,White,Male,0,1485,50,<=50K
35,HSgrad,9,notMarried,White,Male,0,0,45,<=50K
29,nonHSgrad,7,notMarried,White,Female,0,0,40,<=50K
76,masters,14,married,White,Male,0,0,10,<=50K
63,HSgrad,9,married,White,Male,0,0,45,<=50K
23,assoc,11,notMarried,Black,Female,0,0,15,<=50K
43,someCollege,10,married,White,Female,0,1887,50,>50K
58,HSgrad,9,married,White,Male,0,0,40,<=50K
66,HSgrad,9,notMarried,White,Male,2050,0,55,<=50K
41,someCollege,10,notMarried,Black,Male,0,0,45,<=50K
26,bachelors,13,notMarried,White,Male,0,0,40,<=50K
47,assoc,11,notMarried,White,Male,0,0,40,<=50K
55,nonHSgrad,6,married,White,Male,0,0,40,<=50K
53,HSgrad,9,married,White,Male,0,0,40,<=50K
17,nonHSgrad,3,notMarried,White,Male,0,0,48,<=50K
30,HSgrad,9,notMarried,White,Male,0,0,40,<=50K
49,masters,14,notMarried,White,Male,0,0,60,<=50K
19,HSgrad,9,notMarried,Black,Male,0,0,30,<=50K
45,HSgrad,9,married,Black,Male,0,0,40,<=50K
26,assoc,12,notMarried,White,Male,0,0,40,<=50K
38,assoc,11,married,White,Male,7298,0,40,>50K
36,HSgrad,9,married,White,Male,7298,0,40,>50K
33,HSgrad,9,notMarried,White,Male,0,0,20,<=50K
22,someCollege,10,notMarried,Black,Female,0,0,40,<=50K
43,bachelors,13,notMarried,White,Male,0,0,42,<=50K
67,nonHSgrad,7,married,White,Male,0,0,8,<=50K
30,assoc,11,notMarried,White,Female,0,0,40,<=50K
56,assoc,12,married,White,Male,0,0,25,<=50K
31,bachelors,13,notMarried,White,Male,0,0,25,<=50K
33,bachelors,13,married,White,Male,0,0,40,>50K
26,HSgrad,9,married,White,Male,0,0,40,<=50K
33,bachelors,13,married,White,Male,0,0,40,>50K
46,nonHSgrad,7,married,White,Male,0,0,30,<=50K
59,bachelors,13,married,White,Male,0,0,40,>50K
38,HSgrad,9,married,White,Male,0,0,40,>50K
65,nonHSgrad,7,notMarried,Other,Male,0,0,40,<=50K
40,assoc,11,married,White,Male,0,0,40,>50K
42,HSgrad,9,married,White,Female,0,0,35,<=50K
26,nonHSgrad,5,married,White,Male,0,0,40,<=50K
36,nonHSgrad,6,married,White,Female,0,0,24,<=50K
62,masters,14,married,White,Male,0,0,40,>50K
43,bachelors,13,married,White,Male,0,0,45,<=50K
43,bachelors,13,notMarried,White,Male,0,1564,45,>50K
22,HSgrad,9,married,White,Male,0,0,55,<=50K
28,HSgrad,9,married,White,Male,0,0,40,<=50K
56,someCollege,10,married,White,Male,0,0,45,<=50K
22,assoc,12,notMarried,White,Female,0,0,15,<=50K
57,bachelors,13,notMarried,White,Female,0,0,45,>50K
39,HSgrad,9,notMarried,White,Female,0,0,40,<=50K
26,someCollege,10,notMarried,White,Female,0,0,15,<=50K
17,nonHSgrad,7,notMarried,White,Male,0,0,10,<=50K
40,assoc,11,married,White,Male,0,0,38,>50K
45,HSgrad,9,married,Black,Male,0,0,40,<=50K
44,HSgrad,9,notMarried,Black,Male,0,0,40,<=50K
20,someCollege,10,notMarried,White,Female,0,0,10,<=50K
33,HSgrad,9,married,White,Female,0,0,40,<=50K
23,someCollege,10,notMarried,White,Male,0,0,40,<=50K
46,masters,14,notMarried,White,Male,0,0,30,<=50K
38,HSgrad,9,married,White,Male,0,0,50,<=50K
54,HSgrad,9,notMarried,White,Male,0,0,40,<=50K
46,nonHSgrad,3,notMarried,White,Female,0,2339,45,<=50K
25,someCollege,10,married,White,Male,0,0,40,<=50K
46,someCollege,10,notMarried,White,Female,0,0,40,<=50K
36,someCollege,10,married,White,Female,0,0,40,<=50K
23,HSgrad,9,notMarried,White,Female,0,0,25,<=50K
29,HSgrad,9,notMarried,White,Male,0,0,40,<=50K
44,someCollege,10,married,White,Female,0,2415,6,>50K
19,someCollege,10,notMarried,White,Female,0,0,16,<=50K
19,HSgrad,9,notMarried,White,Female,0,0,40,<=50K
35,HSgrad,9,married,White,Female,0,0,40,>50K
27,bachelors,13,notMarried,White,Male,0,0,50,<=50K
46,assoc,12,notMarried,White,Male,0,0,40,<=50K
34,bachelors,13,married,White,Male,7688,0,45,>50K
34,HSgrad,9,notMarried,White,Female,0,0,35,<=50K
44,someCollege,10,married,White,Male,0,0,40,<=50K
45,someCollege,10,notMarried,White,Female,0,0,40,<=50K
20,HSgrad,9,notMarried,White,Female,0,0,35,<=50K
25,bachelors,13,married,White,Male,0,0,55,>50K
52,bachelors,13,married,White,Male,0,0,50,>50K
20,someCollege,10,notMarried,White,Male,0,0,40,<=50K
28,someCollege,10,notMarried,White,Female,0,0,40,<=50K
50,bachelors,13,married,White,Male,0,0,40,>50K
34,assoc,11,notMarried,White,Female,0,0,64,<=50K
28,nonHSgrad,4,married,Other,Male,0,2179,40,<=50K
41,masters,14,married,White,Male,0,1977,65,>50K
28,HSgrad,9,married,White,Male,0,0,40,<=50K
46,HSgrad,9,married,White,Male,0,0,25,<=50K
28,someCollege,10,married,White,Female,0,1887,40,>50K
32,someCollege,10,married,White,Male,0,0,50,<=50K
41,someCollege,10,notMarried,Black,Female,0,0,24,<=50K
24,HSgrad,9,notMarried,Black,Female,0,0,40,<=50K
33,someCollege,10,notMarried,White,Female,0,0,40,<=50K
46,doctorate,16,married,White,Male,15024,0,60,>50K
31,someCollege,10,married,White,Male,0,0,40,<=50K
35,nonHSgrad,8,notMarried,White,Male,0,0,50,>50K
52,nonHSgrad,2,married,White,Male,0,0,40,<=50K
30,nonHSgrad,7,notMarried,White,Female,0,0,19,<=50K
34,nonHSgrad,7,notMarried,Black,Male,0,0,40,<=50K
34,HSgrad,9,notMarried,White,Female,0,0,40,<=50K
20,someCollege,10,married,White,Male,0,0,30,<=50K
17,nonHSgrad,7,notMarried,White,Male,2176,0,18,<=50K
32,bachelors,13,married,White,Female,0,0,40,>50K
29,HSgrad,9,notMarried,White,Male,0,0,40,<=50K
33,nonHSgrad,6,notMarried,White,Female,0,0,35,<=50K
25,HSgrad,9,married,White,Male,0,0,60,<=50K
36,masters,14,notMarried,White,Male,0,1408,40,<=50K
23,HSgrad,9,notMarried,White,Male,0,0,72,<=50K
63,HSgrad,9,married,White,Male,0,0,40,>50K
47,masters,14,married,White,Male,0,0,40,<=50K
80,HSgrad,9,notMarried,White,Male,0,0,24,<=50K
17,nonHSgrad,7,notMarried,White,Male,0,0,40,<=50K
40,bachelors,13,married,White,Female,2174,0,40,<=50K
30,assoc,12,married,White,Female,0,0,25,>50K
27,someCollege,10,notMarried,Asian-Pac-Islander,Male,0,1980,40,<=50K
33,masters,14,married,White,Male,0,0,50,>50K
34,HSgrad,9,notMarried,Black,Male,594,0,60,<=50K
34,someCollege,10,notMarried,White,Female,0,0,40,<=50K
23,someCollege,10,married,White,Male,0,0,40,<=50K
42,someCollege,10,married,White,Female,0,0,40,<=50K
29,bachelors,13,notMarried,White,Male,0,0,40,<=50K
45,HSgrad,9,notMarried,White,Female,0,0,28,<=50K
24,HSgrad,9,notMarried,White,Male,0,0,40,<=50K
44,someCollege,10,married,White,Male,0,0,40,>50K
27,nonHSgrad,5,notMarried,White,Male,0,0,40,<=50K
20,someCollege,10,notMarried,White,Male,0,0,35,<=50K
44,HSgrad,9,notMarried,Black,Female,0,0,40,<=50K
51,HSgrad,9,married,Amer-Indian-Eskimo,Male,0,0,40,<=50K
20,HSgrad,9,married,White,Male,0,0,40,<=50K
17,nonHSgrad,7,notMarried,White,Female,0,0,5,<=50K
19,HSgrad,9,notMarried,Black,Female,0,0,40,<=50K
45,someCollege,10,married,White,Male,0,0,55,>50K
60,HSgrad,9,married,White,Male,0,0,40,>50K
42,assoc,12,married,Black,Male,0,0,40,>50K
44,HSgrad,9,married,White,Female,0,0,40,>50K
40,assoc,11,married,Asian-Pac-Islander,Male,0,0,40,>50K
30,HSgrad,9,married,White,Female,0,0,40,<=50K
38,someCollege,10,married,Black,Male,0,0,50,<=50K
23,HSgrad,9,married,White,Male,0,0,60,<=50K
32,someCollege,10,married,White,Male,0,0,40,<=50K
44,assoc,12,notMarried,White,Male,0,0,40,<=50K
54,HSgrad,9,married,Black,Male,0,0,40,<=50K
32,bachelors,13,married,White,Male,0,0,50,<=50K
50,nonHSgrad,2,married,White,Male,0,0,40,<=50K
24,bachelors,13,notMarried,White,Female,0,0,20,<=50K
37,HSgrad,9,married,White,Female,0,0,60,<=50K
52,HSgrad,9,notMarried,White,Male,0,0,40,<=50K
38,someCollege,10,married,White,Male,0,0,40,<=50K
49,masters,14,married,White,Male,0,1977,45,>50K
30,bachelors,13,married,White,Female,0,0,16,>50K
60,someCollege,10,notMarried,White,Male,0,0,40,>50K
22,someCollege,10,notMarried,White,Male,0,0,40,<=50K
