age,fnlwgt,education,educationNum,married,race,sex,capitalGain,capitalLoss,hrPerWeek,income
25,252752,2,9,1,5,1,0,0,40,1
44,78374,6,14,1,2,1,0,0,40,1
28,88419,2,9,1,2,1,0,0,40,1
45,201080,6,14,2,5,2,0,0,40,2
36,207157,3,10,1,5,1,0,0,40,1
39,235485,4,12,1,5,2,0,0,42,1
46,102628,6,14,1,5,2,0,0,40,1
18,25828,1,7,1,5,2,0,0,16,1
66,54826,4,11,1,5,1,0,0,20,1
27,124953,2,9,1,5,2,0,1980,40,1
28,175325,2,9,2,5,2,0,0,40,1
51,96062,3,10,2,5,2,0,1977,40,2
27,428030,5,13,1,5,2,0,0,50,1
28,149624,5,13,2,5,2,0,0,40,2
27,253814,2,9,2,5,1,0,0,25,1
21,312956,2,9,1,3,2,0,0,40,1
34,483777,2,9,1,3,2,0,0,40,1
18,183930,2,9,1,5,2,0,0,12,1
33,37274,5,13,2,5,2,0,0,65,1
44,181344,3,10,2,3,2,0,0,38,2
43,114580,3,10,1,5,1,0,0,40,1
30,633742,3,10,1,3,2,0,0,45,1
40,286370,1,4,2,5,2,0,0,40,2
37,29054,3,10,2,5,2,0,0,42,2
34,304030,2,9,2,3,2,0,0,40,1
41,143129,5,13,1,5,1,0,0,40,1
53,135105,5,13,1,5,1,0,0,50,1
31,99928,6,14,2,5,1,0,0,50,1
58,109567,8,16,2,5,2,0,0,1,2
38,155222,3,10,1,3,1,0,0,28,1
24,159567,3,10,2,5,2,0,0,40,1
41,523910,5,13,2,3,2,0,0,40,1
47,120939,3,10,2,5,2,0,0,45,1
41,130760,5,13,2,5,2,0,0,24,1
23,197387,1,3,2,5,2,0,0,40,1
36,99374,3,10,1,5,2,0,0,40,1
40,56795,6,14,1,5,1,14084,0,55,2
35,138992,6,14,2,5,2,7298,0,40,2
24,32921,2,9,1,5,2,0,0,40,1
26,397317,6,14,1,5,1,0,1876,40,1
19,170653,2,9,1,5,2,0,0,40,1
51,259323,5,13,2,5,2,0,0,50,2
42,254817,3,10,1,5,1,0,1340,40,1
37,48211,2,9,1,5,1,0,0,35,1
18,140164,1,7,1,5,1,0,0,40,1
36,128757,5,13,2,3,2,7298,0,36,2
35,36270,2,9,1,5,2,0,0,60,1
58,210563,2,9,2,5,1,15024,0,35,2
17,65368,1,7,1,5,1,0,0,12,1
44,160943,2,9,2,3,2,0,0,40,1
37,208358,2,9,2,5,2,0,0,40,2
35,153790,3,10,1,1,1,0,0,40,1
60,85815,2,9,2,2,2,0,0,40,1
54,125417,1,4,2,5,2,0,0,40,2
37,635913,5,13,1,3,2,0,0,60,2
50,313321,4,12,1,5,1,0,0,40,1
38,182609,5,13,2,5,2,0,0,50,1
45,109434,5,13,2,5,2,0,0,55,1
25,255004,1,6,1,5,2,0,0,40,1
31,197860,3,10,2,5,2,0,0,40,1
64,187656,1,2,1,5,2,0,0,40,1
90,51744,2,9,1,3,2,0,2206,40,1
54,176681,2,9,2,3,2,0,0,20,1
53,140359,1,1,1,5,1,0,0,35,1
18,243313,2,9,1,5,1,0,0,40,1
60,24215,1,6,1,1,1,0,0,10,1
66,167687,2,9,2,5,2,1409,0,50,1
75,314209,4,11,1,5,1,0,0,20,1
65,176796,2,9,1,5,1,0,0,40,1
35,538583,1,7,1,3,2,3674,0,40,1
41,130408,2,9,1,3,1,0,0,38,1
25,159732,3,10,1,5,2,0,0,42,1
33,110978,3,10,1,4,1,0,0,40,1
28,76714,7,15,1,5,2,0,0,55,2
59,268700,2,9,2,5,2,0,0,40,1
40,170525,3,10,1,5,1,0,0,38,1
41,180138,5,13,2,5,2,0,0,50,2
38,115076,6,14,2,5,2,0,0,70,2
23,115458,2,9,1,5,2,0,0,40,1
40,347890,5,13,2,5,2,0,0,40,2
41,196001,2,9,2,5,1,0,0,20,1
24,273905,4,12,2,5,2,0,0,50,1
20,119156,3,10,1,5,2,0,0,20,1
38,179488,3,10,1,5,2,0,1741,40,1
56,203580,2,9,2,5,2,0,0,35,1
58,236596,2,9,2,5,2,0,0,45,2
32,183916,2,9,1,5,1,0,0,34,1
40,207578,4,12,2,5,2,0,1977,60,2
45,153141,2,9,2,5,2,0,0,40,1
41,112763,7,15,2,5,1,0,0,40,2
42,390781,5,13,2,3,1,0,0,40,1
59,171328,1,6,1,3,1,0,0,30,1
19,27382,3,10,1,5,2,0,0,40,1
58,259014,3,10,1,5,2,0,0,20,1
42,303044,2,9,2,2,2,0,0,40,2
20,117789,2,9,1,5,1,0,0,40,1
32,172579,2,9,1,5,1,0,0,30,1
45,187666,4,11,1,5,1,0,0,45,1
50,204518,1,4,1,5,2,0,0,40,1
36,150042,5,13,1,5,1,0,0,40,1
45,98092,2,9,2,5,2,0,0,60,1
17,245918,1,7,1,5,2,0,0,12,1
59,146013,3,10,2,5,2,4064,0,40,1
26,378322,1,7,2,5,2,0,0,40,1
37,257295,3,10,2,2,2,0,0,75,2
19,218956,3,10,1,5,2,0,0,24,1
64,21174,2,9,2,5,2,0,0,40,2
33,185480,5,13,1,5,1,0,0,45,1
33,222205,2,9,2,5,1,0,0,40,2
61,69867,2,9,2,5,2,0,0,40,2
17,191260,1,5,1,5,2,1055,0,24,1
50,30653,6,14,2,5,2,2407,0,98,1
27,209109,6,14,1,5,2,0,0,35,1
30,70377,2,9,1,5,1,0,0,40,1
43,477983,2,9,2,3,2,0,0,40,1
44,170924,3,10,2,5,2,7298,0,40,2
35,190174,3,10,1,5,1,0,0,40,1
25,193787,3,10,1,5,1,0,0,40,1
24,279472,3,10,2,5,1,7298,0,48,2
22,34918,5,13,1,5,1,0,0,15,1
42,97688,3,10,2,5,2,5178,0,40,2
34,175413,4,12,1,3,1,0,0,45,1
60,173960,5,13,1,5,1,0,0,42,1
21,205759,2,9,1,5,2,0,0,40,1
57,425161,6,14,2,5,2,15024,0,40,2
41,220531,7,15,2,5,2,0,0,60,2
50,176609,3,10,1,5,2,0,0,45,1
25,371987,5,13,1,5,1,0,0,40,1
50,193884,1,4,2,5,2,0,0,40,1
36,200352,5,13,2,5,2,0,0,45,1
31,127595,2,9,1,5,1,0,0,40,1
29,220419,5,13,1,5,2,0,0,56,1
21,231931,3,10,1,5,2,0,0,45,1
27,248402,5,13,1,3,1,0,0,40,1
65,111095,2,9,2,5,2,0,0,16,1
37,57424,5,13,1,5,1,0,0,60,1
39,157443,6,14,2,2,1,3464,0,40,1
24,278130,2,9,1,5,2,0,0,40,1
38,169469,2,9,1,5,2,0,0,80,1
48,146268,5,13,2,5,2,7688,0,40,2
21,153718,3,10,1,2,1,0,0,25,1
31,217460,2,9,2,5,2,0,0,45,2
55,238638,2,9,2,5,2,4386,0,40,2
24,303296,3,10,2,2,1,0,0,40,1
43,173321,2,9,1,5,1,0,0,40,1
26,193945,4,12,1,5,2,0,0,45,1
46,83082,4,12,1,5,1,0,0,33,1
35,193815,4,12,2,5,2,0,0,40,2
41,34987,3,10,2,5,2,0,0,54,2
26,59306,5,13,1,5,2,0,0,40,1
34,142897,6,14,2,2,2,7298,0,35,2
19,860348,3,10,1,3,1,0,0,25,1
36,205607,5,13,1,3,1,0,0,40,2
22,199698,3,10,1,5,2,0,0,15,1
24,191954,3,10,1,5,2,0,0,40,1
77,138714,3,10,2,5,2,0,0,40,1
22,399087,1,3,2,5,1,0,0,40,1
29,423158,3,10,1,5,1,0,0,40,1
62,159841,2,9,1,5,1,0,0,24,1
39,174308,2,9,2,5,2,0,0,40,1
43,50356,3,10,2,5,2,0,1485,50,1
35,186110,2,9,1,5,2,0,0,45,1
29,200381,1,7,1,5,1,0,0,40,1
76,174309,6,14,2,5,2,0,0,10,1
63,78383,2,9,2,5,2,0,0,45,1
23,211601,4,11,1,3,1,0,0,15,1
43,187728,3,10,2,5,1,0,1887,50,2
58,321171,2,9,2,5,2,0,0,40,1
66,127921,2,9,1,5,2,2050,0,55,1
41,206565,3,10,1,3,2,0,0,45,1
26,224563,5,13,1,5,2,0,0,40,1
47,178686,4,11,1,5,2,0,0,40,1
55,98545,1,6,2,5,2,0,0,40,1
53,242606,2,9,2,5,2,0,0,40,1
17,270942,1,3,1,5,2,0,0,48,1
30,94235,2,9,1,5,2,0,0,40,1
49,71195,6,14,1,5,2,0,0,60,1
19,104112,2,9,1,3,2,0,0,30,1
45,261192,2,9,2,3,2,0,0,40,1
26,94936,4,12,1,5,2,0,0,40,1
38,296478,4,11,2,5,2,7298,0,40,2
36,119272,2,9,2,5,2,7298,0,40,2
33,85043,2,9,1,5,2,0,0,20,1
22,293364,3,10,1,3,1,0,0,40,1
43,241895,5,13,1,5,2,0,0,42,1
67,36135,1,7,2,5,2,0,0,8,1
30,151989,4,11,1,5,1,0,0,40,1
56,101128,4,12,2,5,2,0,0,25,1
31,156464,5,13,1,5,2,0,0,25,1
33,117963,5,13,2,5,2,0,0,40,2
26,192262,2,9,2,5,2,0,0,40,1
33,111363,5,13,2,5,2,0,0,40,2
46,329752,1,7,2,5,2,0,0,30,1
59,372020,5,13,2,5,2,0,0,40,2
38,95432,2,9,2,5,2,0,0,40,2
65,161400,1,7,1,4,2,0,0,40,1
40,96129,4,11,2,5,2,0,0,40,2
42,111949,2,9,2,5,1,0,0,35,1
26,117125,1,5,2,5,2,0,0,40,1
36,348022,1,6,2,5,1,0,0,24,1
62,270092,6,14,2,5,2,0,0,40,2
43,180609,5,13,2,5,2,0,0,45,1
43,174575,5,13,1,5,2,0,1564,45,2
22,410439,2,9,2,5,2,0,0,55,1
28,92262,2,9,2,5,2,0,0,40,1
56,183081,3,10,2,5,2,0,0,45,1
22,362589,4,12,1,5,1,0,0,15,1
57,212448,5,13,1,5,1,0,0,45,2
39,481060,2,9,1,5,1,0,0,40,1
26,185885,3,10,1,5,1,0,0,15,1
17,89821,1,7,1,5,2,0,0,10,1
40,184018,4,11,2,5,2,0,0,38,2
45,256649,2,9,2,3,2,0,0,40,1
44,160323,2,9,1,3,2,0,0,40,1
20,350845,3,10,1,5,1,0,0,10,1
33,267404,2,9,2,5,1,0,0,40,1
23,35633,3,10,1,5,2,0,0,40,1
46,80914,6,14,1,5,2,0,0,30,1
38,172927,2,9,2,5,2,0,0,50,1
54,174319,2,9,1,5,2,0,0,40,1
46,214955,1,3,1,5,1,0,2339,45,1
25,344991,3,10,2,5,2,0,0,40,1
46,108699,3,10,1,5,1,0,0,40,1
36,117312,3,10,2,5,1,0,0,40,1
23,396099,2,9,1,5,1,0,0,25,1
29,134152,2,9,1,5,2,0,0,40,1
44,162028,3,10,2,5,1,0,2415,6,2
19,25429,3,10,1,5,1,0,0,16,1
19,232392,2,9,1,5,1,0,0,40,1
35,220098,2,9,2,5,1,0,0,40,2
27,301302,5,13,1,5,2,0,0,50,1
46,277946,4,12,1,5,2,0,0,40,1
34,98101,5,13,2,5,2,7688,0,45,2
34,196164,2,9,1,5,1,0,0,35,1
44,115562,3,10,2,5,2,0,0,40,1
45,96975,3,10,1,5,1,0,0,40,1
20,137300,2,9,1,5,1,0,0,35,1
25,86872,5,13,2,5,2,0,0,55,2
52,132178,5,13,2,5,2,0,0,50,2
20,416103,3,10,1,5,2,0,0,40,1
28,108574,3,10,1,5,1,0,0,40,1
50,288353,5,13,2,5,2,0,0,40,2
34,227689,4,11,1,5,1,0,0,64,1
28,166481,1,4,2,4,2,0,2179,40,1
41,445382,6,14,2,5,2,0,1977,65,2
28,110145,2,9,2,5,2,0,0,40,1
46,317253,2,9,2,5,2,0,0,25,1
28,123147,3,10,2,5,1,0,1887,40,2
32,364657,3,10,2,5,2,0,0,50,1
41,42346,3,10,1,3,1,0,0,24,1
24,241951,2,9,1,3,1,0,0,40,1
33,118500,3,10,1,5,1,0,0,40,1
46,188386,8,16,2,5,2,15024,0,60,2
31,1033222,3,10,2,5,2,0,0,40,1
35,92440,1,8,1,5,2,0,0,50,2
52,190762,1,2,2,5,2,0,0,40,1
30,426017,1,7,1,5,1,0,0,19,1
34,243867,1,7,1,3,2,0,0,40,1
34,240283,2,9,1,5,1,0,0,40,1
20,61777,3,10,2,5,2,0,0,30,1
17,175024,1,7,1,5,2,2176,0,18,1
32,92003,5,13,2,5,1,0,0,40,2
29,188401,2,9,1,5,2,0,0,40,1
33,228528,1,6,1,5,1,0,0,35,1
25,133373,2,9,2,5,2,0,0,60,1
36,255191,6,14,1,5,2,0,1408,40,1
23,204653,2,9,1,5,2,0,0,72,1
63,222289,2,9,2,5,2,0,0,40,2
47,287480,6,14,2,5,2,0,0,40,1
80,107762,2,9,1,5,2,0,0,24,1
17,202521,1,7,1,5,2,0,0,40,1
40,204116,5,13,2,5,1,2174,0,40,1
30,29662,4,12,2,5,1,0,0,25,2
27,116358,3,10,1,2,2,0,1980,40,1
33,208405,6,14,2,5,2,0,0,50,2
34,284843,2,9,1,3,2,594,0,60,1
34,117018,3,10,1,5,1,0,0,40,1
23,81281,3,10,2,5,2,0,0,40,1
42,340148,3,10,2,5,1,0,0,40,1
29,363425,5,13,1,5,2,0,0,40,1
45,45857,2,9,1,5,1,0,0,28,1
24,191073,2,9,1,5,2,0,0,40,1
44,116632,3,10,2,5,2,0,0,40,2
27,405855,1,5,1,5,2,0,0,40,1
20,298227,3,10,1,5,2,0,0,35,1
44,290521,2,9,1,3,1,0,0,40,1
51,56915,2,9,2,1,2,0,0,40,1
20,146538,2,9,2,5,2,0,0,40,1
17,258872,1,7,1,5,1,0,0,5,1
19,206399,2,9,1,3,1,0,0,40,1
45,197332,3,10,2,5,2,0,0,55,2
60,245062,2,9,2,5,2,0,0,40,2
42,197583,4,12,2,3,2,0,0,40,2
44,234885,2,9,2,5,1,0,0,40,2
40,72887,4,11,2,2,2,0,0,40,2
30,180374,2,9,2,5,1,0,0,40,1
38,351299,3,10,2,3,2,0,0,50,1
23,54012,2,9,2,5,2,0,0,60,1
32,115745,3,10,2,5,2,0,0,40,1
44,116632,4,12,1,5,2,0,0,40,1
54,288825,2,9,2,3,2,0,0,40,1
32,132601,5,13,2,5,2,0,0,50,1
50,193374,1,2,2,5,2,0,0,40,1
24,170070,5,13,1,5,1,0,0,20,1
37,126708,2,9,2,5,1,0,0,60,1
52,35598,2,9,1,5,2,0,0,40,1
38,33983,3,10,2,5,2,0,0,40,1
49,192776,6,14,2,5,2,0,1977,45,2
30,118551,5,13,2,5,1,0,0,16,2
60,201965,3,10,1,5,2,0,0,40,2
22,139883,3,10,1,5,2,0,0,40,1
35,285020,2,9,1,5,2,0,0,40,1
30,303990,2,9,1,5,2,0,0,60,1
67,49401,4,11,1,5,1,0,0,24,1
46,279196,5,13,1,5,1,0,0,40,1
17,211870,1,5,1,5,2,0,0,6,1
22,281432,3,10,1,5,2,0,0,30,1
27,161155,1,6,1,5,2,0,0,40,1
23,197904,2,9,1,5,1,0,0,35,1
33,111746,4,12,2,5,2,0,0,45,1
43,170721,3,10,2,5,2,0,0,20,1
28,70100,5,13,1,5,2,0,0,20,1
41,193626,2,9,2,5,1,0,0,40,1
52,271749,1,8,1,3,2,594,0,40,1
25,189775,3,10,2,3,1,0,0,20,1
63,401531,1,2,2,5,2,0,0,35,1
59,286967,2,9,2,5,2,0,0,45,1
45,164427,5,13,1,5,1,0,0,40,1
38,91039,5,13,2,5,2,15024,0,60,2
40,347934,2,9,1,5,1,0,0,35,1
46,371373,2,9,1,5,2,0,0,40,1
35,32220,4,12,1,5,1,0,0,60,1
34,187251,2,9,1,5,1,0,0,25,1
33,178107,5,13,1,5,2,0,0,20,1
41,343121,2,9,1,5,1,0,0,36,1
20,262749,3,10,1,5,2,0,0,40,1
23,403107,1,3,1,5,2,0,0,40,1
26,64293,3,10,1,5,1,0,0,35,1
72,303588,2,9,2,5,2,0,0,20,1
23,324960,2,9,1,5,2,0,0,40,1
62,114060,2,9,2,5,2,0,0,40,1
52,48925,3,10,2,5,2,0,0,40,1
58,180980,3,10,1,5,1,0,0,42,1
25,181054,5,13,1,5,1,0,0,40,1
24,388093,5,13,1,3,2,0,0,40,1
19,249609,3,10,1,5,2,0,0,8,1
43,112131,3,10,2,5,2,0,0,40,1
47,543162,2,9,1,3,1,0,0,40,1
39,91996,2,9,1,5,1,0,0,40,1
49,141944,4,11,2,5,2,0,1380,42,1
53,251804,1,3,1,3,1,0,0,30,1
32,37070,4,11,1,5,2,0,0,45,1
34,337587,3,10,2,5,2,0,0,50,2
28,189346,2,9,1,5,2,0,0,45,1
57,222216,4,11,1,5,1,0,0,38,1
25,267044,3,10,1,1,1,0,0,20,1
20,214635,3,10,1,5,2,0,0,24,1
21,204226,3,10,1,5,1,0,0,35,1
34,108116,5,13,2,5,2,0,0,50,2
38,99146,5,13,2,5,2,15024,0,80,2
50,196232,2,9,2,5,2,7688,0,50,2
24,248344,3,10,1,3,2,0,0,50,1
37,186035,3,10,2,5,2,0,0,45,2
44,177905,3,10,1,5,2,0,0,58,2
28,85812,3,10,2,5,1,0,0,40,1
42,221172,5,13,2,5,2,0,0,40,2
74,99183,3,10,1,5,1,0,0,9,1
38,190387,2,9,2,5,2,0,0,50,1
44,202692,6,14,2,5,2,0,0,40,1
44,109339,1,7,1,4,1,0,0,46,1
26,108658,2,9,1,5,2,0,0,40,1
36,197202,2,9,2,3,2,0,0,40,1
41,101739,4,12,2,5,1,0,0,50,2
67,231559,7,15,2,5,2,20051,0,48,2
39,207853,1,8,2,5,2,0,0,50,1
57,190942,1,2,1,3,1,0,0,30,1
29,102345,4,11,1,5,2,0,0,40,1
31,41493,5,13,1,5,1,0,0,45,1
34,190027,2,9,1,3,1,0,0,40,1
44,210525,3,10,2,5,2,0,0,40,1
29,133937,8,16,1,5,2,0,0,40,1
30,237903,3,10,1,5,1,0,0,40,1
27,163862,2,9,1,5,2,0,0,40,1
27,201872,3,10,2,5,2,0,0,50,1
32,84179,2,9,1,5,1,0,0,45,1
58,51662,1,6,2,5,1,0,0,8,1
35,233327,3,10,2,5,2,0,0,40,1
21,259510,2,9,1,5,2,0,0,36,1
28,184831,3,10,1,5,2,0,0,40,1
46,245724,3,10,1,5,2,0,0,50,1
36,27053,2,9,1,5,1,0,0,40,1
72,205343,1,7,1,5,1,0,0,40,1
35,229328,2,9,2,3,1,0,0,40,1
33,319560,4,11,1,3,1,0,0,40,2
69,136218,1,7,1,5,1,0,0,40,1
35,54576,2,9,2,5,2,0,0,40,1
31,323069,2,9,1,5,1,0,0,20,1
34,148291,2,9,2,5,1,0,0,32,1
30,152453,1,7,2,5,2,0,0,40,1
28,114053,5,13,1,5,2,0,0,55,1
54,212960,5,13,2,5,2,0,0,35,2
47,264052,3,10,2,5,2,0,0,50,2
24,82804,2,9,1,3,1,0,0,40,1
52,334273,5,13,2,5,2,0,0,60,2
20,27337,2,9,1,1,2,0,0,48,1
43,188436,6,14,2,5,2,5013,0,45,1
45,433665,1,4,1,5,1,0,0,40,1
29,110663,2,9,1,5,2,0,0,35,1
47,87490,6,14,1,5,2,0,0,42,1
24,354351,2,9,1,5,2,0,0,40,1
51,95469,2,9,2,5,2,0,0,40,1
17,242718,1,7,1,5,2,0,0,12,1
37,22463,4,11,2,5,2,0,1977,40,2
27,158156,8,16,1,5,1,0,0,70,1
29,350162,5,13,2,5,2,0,0,40,2
18,165532,1,8,1,5,2,0,0,25,1
36,28738,4,12,1,5,1,0,0,35,1
58,283635,5,13,1,5,1,0,0,40,1
26,86646,3,10,2,5,2,0,0,45,1
65,195733,3,10,2,5,2,0,0,30,2
57,69884,2,9,2,5,2,0,0,40,2
59,199713,2,9,2,5,2,0,0,40,1
27,181659,2,9,2,5,2,0,0,40,1
31,340939,5,13,1,5,2,0,0,40,1
21,197747,3,10,1,5,1,0,0,24,1
29,34292,3,10,1,5,2,0,0,60,1
18,156764,1,7,1,5,2,0,0,40,1
52,25826,1,6,2,5,2,0,1887,47,2
57,103948,5,13,1,5,2,0,0,80,1
42,137390,2,9,2,5,2,0,0,40,1
55,105138,2,9,2,2,1,0,0,40,1
60,39352,1,4,1,5,2,0,0,48,2
31,168387,5,13,2,5,2,7688,0,40,2
23,117789,5,13,1,5,1,0,0,40,1
27,267147,2,9,1,5,2,0,0,40,1
23,99399,3,10,1,1,1,0,0,25,1
42,214242,7,15,2,5,2,0,1902,50,2
25,200408,3,10,1,5,2,2174,0,40,1
49,136455,5,13,1,5,1,0,0,45,1
32,239824,5,13,1,5,2,0,0,40,1
